# Time-averaged data for fix printdipole
# TimeStep v_mytime v_totaldipolex v_totaldipoley v_totaldipolez
10734 2683.5000000000 0.0559668619 1.3607271815 -0.1283935072
10736 2684.0000000000 0.0704627599 1.3374120665 -0.1316136257
10738 2684.5000000000 0.0752463011 1.3674014653 -0.1760402487
10740 2685.0000000000 0.0771293122 1.4093186516 -0.1550123802
10742 2685.5000000000 0.0713096193 1.3626869845 -0.2098088232
10744 2686.0000000000 0.0673783139 1.4339859163 -0.1979429352
10746 2686.5000000000 0.0694848375 1.3873065402 -0.2313002067
10748 2687.0000000000 0.1003325407 1.3739994074 -0.2344859253
10750 2687.5000000000 0.0747022008 1.4098968151 -0.2619973213
10752 2688.0000000000 0.0916740691 1.3636762273 -0.2673469171
10754 2688.5000000000 0.0783140654 1.3589245440 -0.2622395961
10756 2689.0000000000 0.0995089265 1.3535557903 -0.2633581698
10758 2689.5000000000 0.0935938401 1.3428006047 -0.2717377318
10760 2690.0000000000 0.0825905552 1.3501529076 -0.2592438564
10762 2690.5000000000 0.0737188420 1.3214559267 -0.2781016629
10764 2691.0000000000 0.0719130533 1.3338182262 -0.2581515165
10766 2691.5000000000 0.0769547610 1.3512920893 -0.2480012871
10768 2692.0000000000 0.0565803855 1.3501159435 -0.2588987670
10770 2692.5000000000 0.0335912195 1.3463204864 -0.2406883409
10772 2693.0000000000 0.0312257980 1.3780422881 -0.2819821493
10774 2693.5000000000 0.0229955674 1.3746798936 -0.2442951873
10776 2694.0000000000 0.0224345349 1.3644469947 -0.2797030801
10778 2694.5000000000 0.0116841376 1.3827650222 -0.2470338147
10780 2695.0000000000 -0.0187867142 1.3639188574 -0.2842705406
10782 2695.5000000000 0.0083303068 1.3480782574 -0.2669712759
10784 2696.0000000000 -0.0270554456 1.3440073302 -0.2892207264
10786 2696.5000000000 0.0058696419 1.3123564038 -0.2750076626
10788 2697.0000000000 -0.0316399775 1.2969430714 -0.2845940417
10790 2697.5000000000 -0.0219527166 1.2580303879 -0.2569149272
10792 2698.0000000000 -0.0194656510 1.2385034504 -0.2650894766
10794 2698.5000000000 -0.0324761607 1.2540668984 -0.2568754973
10796 2699.0000000000 -0.0370772677 1.2235698805 -0.2308380022
10798 2699.5000000000 -0.0321485544 1.1870158320 -0.2230724231
10800 2700.0000000000 -0.0505768991 1.2135129011 -0.2044182887
10802 2700.5000000000 -0.0297709164 1.2173819544 -0.1843226632
10804 2701.0000000000 -0.0607585174 1.2154399408 -0.1776211160
10806 2701.5000000000 -0.0568877731 1.2546527854 -0.1552247081
10808 2702.0000000000 -0.0612162682 1.2289616151 -0.1364750402
10810 2702.5000000000 -0.0566963071 1.2522576285 -0.1364596329
10812 2703.0000000000 -0.0577918536 1.2699667672 -0.1158035771
10814 2703.5000000000 -0.0685434855 1.2480765713 -0.1277153032
10816 2704.0000000000 -0.0702059929 1.2649170947 -0.0986142756
10818 2704.5000000000 -0.0683819541 1.2350673371 -0.1137316274
10820 2705.0000000000 -0.0576541185 1.2214612386 -0.0892672037
10822 2705.5000000000 -0.0647035710 1.2321707471 -0.1165867796
10824 2706.0000000000 -0.0738248869 1.1697194470 -0.0986220319
10826 2706.5000000000 -0.0790311367 1.1381044172 -0.0988308467
10828 2707.0000000000 -0.0643048135 1.1502573927 -0.1006621139
10830 2707.5000000000 -0.0757194523 1.0998207663 -0.0909120964
10832 2708.0000000000 -0.0804806141 1.0876371320 -0.0767453413
10834 2708.5000000000 -0.0870081072 1.0813124089 -0.0775617030
10836 2709.0000000000 -0.0965804462 1.0352241567 -0.0699633886
10838 2709.5000000000 -0.0891504176 1.0879952514 -0.0558530768
10840 2710.0000000000 -0.0872081299 1.0396682074 -0.0589435792
10842 2710.5000000000 -0.0939041469 1.0417323055 -0.0069864609
10844 2711.0000000000 -0.1036693026 1.0576699103 -0.0361507156
10846 2711.5000000000 -0.0818637661 1.0386871283 -0.0003237451
10848 2712.0000000000 -0.0982983030 1.0484188887 -0.0354973995
10850 2712.5000000000 -0.0654400574 1.0474538329 -0.0017824905
10852 2713.0000000000 -0.0766215858 0.9959092591 -0.0186453504
10854 2713.5000000000 -0.0686026191 1.0037040142 0.0093301737
10856 2714.0000000000 -0.0457080302 0.9953417142 -0.0442251522
10858 2714.5000000000 -0.0484629093 0.9560058535 -0.0158827840
